S. No.,City Code,State,District,City
1,1101,Andaman & Nicobar Islands (UT),South Andaman,Port Blair
2,1211,Andhra Pradesh,Guntur,Amaravathi
3,1212,Andhra Pradesh,Anantapur,Anantapur
4,1213,Andhra Pradesh,West Godavari,Bhimavaram
5,1214,Andhra Pradesh,Prakasam,Chirala
6,1215,Andhra Pradesh,Chittoor,Chittoor
7,1216,Andhra Pradesh,West Godavari,Eluru
8,1217,Andhra Pradesh,Anantapur,Gooty
9,1218,Andhra Pradesh,Nellore,Gudur
10,1219,Andhra Pradesh,YSR Kadapa,Kadapa
11,1220,Andhra Pradesh,East Godavari,Kakinada
12,1221,Andhra Pradesh,Kurnool,Nandyal
13,1222,Andhra Pradesh,Prakasam,Ongole
14,1223,Andhra Pradesh,Ysr Kadapa,Proddatur
15,1224,Andhra Pradesh,East Godavari,Rajahmundry
16,1225,Andhra Pradesh,Srikakulam,Srikakulam
17,1226,Andhra Pradesh,East Godavari,Surampalem
18,1227,Andhra Pradesh,West Godavari,Tadepalligudem
19,1228,Andhra Pradesh,West Godavari,Tanuku
20,1229,Andhra Pradesh,Vizianagaram,Vizianagaram
21,1201,Andhra Pradesh,Guntur,Guntur
22,1202,Andhra Pradesh,Kurnool,Kurnool
23,1203,Andhra Pradesh,Nellore,Nellore
24,1204,Andhra Pradesh,Chittoor,Tirupathi
25,1205,Andhra Pradesh,Krishna,Vijayawada
26,1206,Andhra Pradesh,Vishakapatnam,Visakhapatnam
27,1207,Andhra Pradesh,Tenali,Tenali
28,1208,Andhra Pradesh,Guntur,Narasaraopet
29,1209,Andhra Pradesh,Machilipatnam,Machilipatnam
30,1210,Andhra Pradesh,Mangalagiri,Mangalagiri
31,1302,Arunachal Pradesh,West Siang,Basar
32,1304,Arunachal Pradesh,Pasighat,Pasighat
33,1303,Arunachal Pradesh,Namsai,Namsai
34,1301,Arunachal Pradesh,Papum Pare,Itanagar/Naharlagun
35,1405,Assam,Baksa,Baksa
36,1406,Assam,Barpeta,Barpeta
37,1407,Assam,Darrang (Mangaldoi),Darrang (Mangaldoi)
38,1408,Assam,Dhubri,Dhubri
39,1409,Assam,Goalpara,Goalpara
40,1410,Assam,Golaghat,Golaghat
41,1411,Assam,Hailakandi,Hailakandi
42,1412,Assam,Jorhat,Jorhat
43,1413,Assam,Lakhimpur,Lakhimpur
44,1414,Assam,Nagaon,Nagaon
45,1415,Assam,Nalbari,Nalbari
46,1416,Assam,Sivasagar,Sivasagar
47,1417,Assam,Udalguri,Udalguri
48,1401,Assam,Dibrugarh,Dibrugarh
49,1402,Assam,Kamrup Metropolitan,Guwahati
50,1403,Assam,Cachar,Silchar
51,1404,Assam,Sonitpur,Tezpur
52,1508,Bihar,Araria,Araria
53,1509,Bihar,Bhojpur,Arrah
54,1510,Bihar,Arwal,Arwal
55,1511,Bihar,Aurangabad,Aurangabad (BR)
56,1512,Bihar,Banka,Banka
57,1513,Bihar,Begusarai,Begusarai
58,1514,Bihar,West Champaran,Bettiah
59,1515,Bihar,Kaimur,Bhabua
60,1516,Bihar,Bhagalpur,Bhagalpur
61,1517,Bihar,Buxar,Buxar
62,1518,Bihar,Darbhanga,Darbhanga
63,1519,Bihar,Gopalganj,Gopalganj
64,1520,Bihar,Jamui,Jamui
65,1521,Bihar,Jehanabad,Jehanabad
66,1522,Bihar,Katihar,Katihar
67,1523,Bihar,Khagaria,Khagaria
68,1524,Bihar,Lakhisarai,Lakhisarai
69,1525,Bihar,Madhepura,Madhepura
70,1526,Bihar,East Champaran,Motihari
71,1527,Bihar,Munger,Munger
72,1528,Bihar,Muzaffarpur,Muzaffarpur
73,1529,Bihar,Nawada,Nawada
74,1530,Bihar,Purnea,Purnea
75,1531,Bihar,Samastipur,Samastipur
76,1532,Bihar,Rohtas,Sasaram
77,1533,Bihar,Sheikhpura,Sheikhpura
78,1534,Bihar,Siwan,Siwan
79,1535,Bihar,Supaul,Supaul
80,1501,Bihar,Gaya,Gaya
81,1502,Bihar,Patna,Patna
82,1503,Bihar,Vaishali,Hajipur
83,1504,Bihar,Madhubani,Madhubani
84,1505,Bihar,Nalanda,Nalanda
85,1506,Bihar,Sitamarhi,Sitamarhi
86,1507,Bihar,Vaishali,Vaishali
87,1601,Chandigarh(UT),Chandigarh,Chandigarh/Mohali/Panchkula
88,1705,Chhattisgarh,Balod,Balod
89,1706,Chhattisgarh,Bijapur,Bijapur
90,1707,Chhattisgarh,Dantewada,Dantewada
91,1708,Chhattisgarh,Dhamtari,Dhamtari
92,1709,Chhattisgarh,Bastar,Jagdalpur
93,1710,Chhattisgarh,Janjgir-Champa,Janjgir
94,1711,Chhattisgarh,Kanker,Kanker
95,1712,Chhattisgarh,Kondagaon,Kondagaon
96,1713,Chhattisgarh,Korba,Korba
97,1714,Chhattisgarh,Mahasamund,Mahasamund
98,1719,Chhattisgarh,Manendragarh,Manendragarh
99,1715,Chhattisgarh,Narayanpur,Narayanpur
100,1716,Chhattisgarh,Raigarh,Raigarh
101,1717,Chhattisgarh,Rajnandgaon,Rajnandgaon
102,1718,Chhattisgarh,Sukma,Sukma
103,1701,Chhattisgarh,Durg,Bhilai Nagar/Durg
